PSU_ID,STRAT_ID,YEAR,WAVE,MONTH,KOD,SUB_REG,ST,MODE_FX,AREA_X,ID_CODE,SP_CODE,COMMON,LNGTH,WGT,L_CM_BIN,L_IN_BIN,LNGTH_IMP,WGT_IMP,WP_SIZE,IMP_REC,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
202229131166320220325,202203913weS:8AM-8PM,2022,2,03,we,4,9,3,5,1166320220325001,,,,,,,0,0,2827.4486927,,202203913weS:8AM-8PM,,0,03/03/2025
202229131166320220402,202204913weS:8AM-8PM,2022,2,04,we,4,9,3,5,1166320220402001,8835020101,WHITE PERCH,287,0.60,28,11,0,0,500.0590311,,202204913weS:8AM-8PM,,0,03/03/2025
202229131166320220402,202204913weS:8AM-8PM,2022,2,04,we,4,9,3,5,1166320220402001,8835020101,WHITE PERCH,312,0.80,31,12,0,0,500.0590311,,202204913weS:8AM-8PM,,0,03/03/2025
202229131166320220402,202204913weS:8AM-8PM,2022,2,04,we,4,9,3,5,1166320220402001,8835020101,WHITE PERCH,299,0.70,29,11,0,0,500.0590311,,202204913weS:8AM-8PM,,0,03/03/2025
202229131166320220402,202204913weS:8AM-8PM,2022,2,04,we,4,9,3,5,1166320220402002,,,,,,,0,0,500.0590311,,202204913weS:8AM-8PM,,0,03/03/2025
202229131166320220402,202204913weS:8AM-8PM,2022,2,04,we,4,9,3,5,1166320220402003,,,,,,,0,0,500.0590311,,202204913weS:8AM-8PM,,0,03/03/2025
202229131764520220303,202203913wdS:8AM-8PM,2022,2,03,wd,4,9,3,5,1764520220303001,,,,,,,0,0,32991.385206,,202203913wdS:8AM-8PM,,0,03/03/2025
202229131764520220320,202203913weS:8AM-8PM,2022,2,03,we,4,9,3,5,1764520220320001,,,,,,,0,0,260.96380113,,202203913weS:8AM-8PM,,0,03/03/2025
202229131764520220320,202203913weS:8AM-8PM,2022,2,03,we,4,9,3,5,1764520220320002,,,,,,,0,0,294.82850959,,202203913weS:8AM-8PM,,0,03/03/2025
202229131764520220320,202203913weS:8AM-8PM,2022,2,03,we,4,9,3,5,1764520220320003,,,,,,,0,0,294.82850959,,202203913weS:8AM-8PM,,0,03/03/2025
