AREA_X,ID_CODE,MODE_FX,ST,SUB_REG,WAVE,YEAR,MONTH,KOD,SP_CODE,LNGTH,WGT,LNGTH_IMP,WGT_IMP,STRAT_ID,PSU_ID,COMMON,WGT_UNADJ,WP_SIZE,L_IN_BIN,L_CM_BIN,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
1,1234120000107005,3,12,6,1,2000,01,wd,8835400102,125,0.1015968064,0,0,200016128301wd,123412000010711108,WHITE GRUNT,0.1,9379.1220653,4,12,200016128301wd,,0,03/03/2025
1,1234120000107005,3,12,6,1,2000,01,wd,8835400102,131,0.1015968064,0,0,200016128301wd,123412000010711108,WHITE GRUNT,0.1,9379.1220653,5,13,200016128301wd,,0,03/03/2025
1,1234120000108004,3,12,6,1,2000,01,we,8835360102,429,1.320758483,0,0,200016128301we,123412000010811108,GRAY SNAPPER,1.3,7520.6224442,16,42,200016128301we,,0,03/03/2025
1,1234120000108004,3,12,6,1,2000,01,we,8835360102,415,1.2699600798,0,0,200016128301we,123412000010811108,GRAY SNAPPER,1.25,7520.6224442,16,41,200016128301we,,0,03/03/2025
1,1234120000108004,3,12,6,1,2000,01,we,8835360102,415,1.320758483,0,0,200016128301we,123412000010811108,GRAY SNAPPER,1.3,7520.6224442,16,41,200016128301we,,0,03/03/2025
1,1234120000108009,3,12,6,1,2000,01,we,8835360102,415,1.3,1,1,200016128301we,123412000010811108,GRAY SNAPPER,1.3,7640.7122238,16,41,200016128301we,,0,03/03/2025
1,1234120000108009,3,12,6,1,2000,01,we,8835360102,429,1.3,1,1,200016128301we,123412000010811108,GRAY SNAPPER,1.3,7640.7122238,16,42,200016128301we,,0,03/03/2025
1,1234120000108009,3,12,6,1,2000,01,we,8835360102,415,1.25,1,1,200016128301we,123412000010811108,GRAY SNAPPER,1.25,7640.7122238,16,41,200016128301we,,0,03/03/2025
1,1234120000108009,3,12,6,1,2000,01,we,8835360102,429,1.3,1,1,200016128301we,123412000010811108,GRAY SNAPPER,1.3,7640.7122238,16,42,200016128301we,,0,03/03/2025
1,1234120000108009,3,12,6,1,2000,01,we,8835360102,415,1.3,1,1,200016128301we,123412000010811108,GRAY SNAPPER,1.3,7640.7122238,16,41,200016128301we,,0,03/03/2025
1,1234120000108010,3,12,6,1,2000,01,we,8835360102,299,0.4,1,1,200016128301we,123412000010811108,GRAY SNAPPER,0.4,9168.8546685,11,29,200016128301we,,0,03/03/2025
1,1234120000108010,3,12,6,1,2000,01,we,8835360102,312,0.45,1,1,200016128301we,123412000010811108,GRAY SNAPPER,0.45,9168.8546685,12,31,200016128301we,,0,03/03/2025
1,1234120000108010,3,12,6,1,2000,01,we,8835360102,356,0.5,1,1,200016128301we,123412000010811108,GRAY SNAPPER,0.5,9168.8546685,14,35,200016128301we,,0,03/03/2025
1,1234120000108010,3,12,6,1,2000,01,we,8835360102,312,0.45,1,1,200016128301we,123412000010811108,GRAY SNAPPER,0.45,9168.8546685,12,31,200016128301we,,0,03/03/2025
1,1234120000108010,3,12,6,1,2000,01,we,8835360102,307,0.45,1,1,200016128301we,123412000010811108,GRAY SNAPPER,0.45,9168.8546685,12,30,200016128301we,,0,03/03/2025
1,1234120000115006,3,12,6,1,2000,01,we,8835360102,356,0.5,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.5,3139.3148166,14,35,200016128301we,,0,03/03/2025
1,1234120000115006,3,12,6,1,2000,01,we,8835360102,291,0.4,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.4,3139.3148166,11,29,200016128301we,,0,03/03/2025
1,1234120000115006,3,12,6,1,2000,01,we,8835360102,333,0.55,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.55,3139.3148166,13,33,200016128301we,,0,03/03/2025
1,1234120000115006,3,12,6,1,2000,01,we,8835360102,351,0.65,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.65,3139.3148166,13,35,200016128301we,,0,03/03/2025
1,1234120000115006,3,12,6,1,2000,01,we,8835360102,351,0.65,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.65,3139.3148166,13,35,200016128301we,,0,03/03/2025
1,1234120000115006,3,12,6,1,2000,01,we,8835400102,131,0.1,1,1,200016128301we,123412000011586279,WHITE GRUNT,0.1,3139.3148166,5,13,200016128301we,,0,03/03/2025
1,1234120000115007,3,12,6,1,2000,01,we,8835360102,284,0.4,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.4,3139.3148166,11,28,200016128301we,,0,03/03/2025
1,1234120000115007,3,12,6,1,2000,01,we,8835360102,284,0.4,1,1,200016128301we,123412000011586279,GRAY SNAPPER,0.4,3139.3148166,11,28,200016128301we,,0,03/03/2025
1,1234120000115008,3,12,6,1,2000,01,we,8747010100,,,0,0,200016128301we,123412000011586279,HERRING GENUS,,94179.444498,,,200016128301we,,0,03/03/2025
1,1234120000116001,3,12,6,1,2000,01,we,8747010100,,,0,0,200016128301we,123412000011611109,HERRING GENUS,,47089.722249,,,200016128301we,,0,03/03/2025
1,1234120000116004,3,12,6,1,2000,01,we,8747010100,,,0,0,200016128301we,123412000011611109,HERRING GENUS,,31393.148166,,,200016128301we,,0,03/03/2025
1,1234120000117001,3,12,6,1,2000,01,we,8835360102,299,0.4063872255,0,0,200016128301we,1234120000117117,GRAY SNAPPER,0.4,3089.9739157,11,29,200016128301we,,0,03/03/2025
1,1234120000117001,3,12,6,1,2000,01,we,8835360102,307,0.4571856287,0,0,200016128301we,1234120000117117,GRAY SNAPPER,0.45,3089.9739157,12,30,200016128301we,,0,03/03/2025
1,1234120000117002,3,12,6,1,2000,01,we,8835360102,312,0.4571856287,0,0,200016128301we,1234120000117117,GRAY SNAPPER,0.45,3089.9739157,12,31,200016128301we,,0,03/03/2025
1,1234120000117002,3,12,6,1,2000,01,we,8835400103,209,0.253992016,0,0,200016128301we,1234120000117117,MARGATE,0.25,3089.9739157,8,20,200016128301we,,0,03/03/2025
1,1234120000117003,3,12,6,1,2000,01,we,8835360102,356,0.5079840319,0,0,200016128301we,1234120000117117,GRAY SNAPPER,0.5,3089.9739157,14,35,200016128301we,,0,03/03/2025
1,1234120000117004,3,12,6,1,2000,01,we,8835400103,218,0.253992016,0,0,200016128301we,1234120000117117,MARGATE,0.25,3089.9739157,8,21,200016128301we,,0,03/03/2025
1,1234120000117004,3,12,6,1,2000,01,we,8835400103,290,0.3555888224,0,0,200016128301we,1234120000117117,MARGATE,0.35,3089.9739157,11,29,200016128301we,,0,03/03/2025
1,1234120000117004,3,12,6,1,2000,01,we,8835400103,215,0.253992016,0,0,200016128301we,1234120000117117,MARGATE,0.25,3089.9739157,8,21,200016128301we,,0,03/03/2025
1,1234120000129001,3,12,6,1,2000,01,we,8835400102,121,0.1015968064,0,0,200016128301we,123412000012911109,WHITE GRUNT,0.1,3089.9739157,4,12,200016128301we,,0,03/03/2025
1,1234120000129001,3,12,6,1,2000,01,we,8835400102,219,0.253992016,0,0,200016128301we,123412000012911109,WHITE GRUNT,0.25,3089.9739157,8,21,200016128301we,,0,03/03/2025
1,1234120000129001,3,12,6,1,2000,01,we,8835400102,275,0.3555888224,0,0,200016128301we,123412000012911109,WHITE GRUNT,0.35,3089.9739157,10,27,200016128301we,,0,03/03/2025
1,1234120000129001,3,12,6,1,2000,01,we,8835400102,251,0.253992016,0,0,200016128301we,123412000012911109,WHITE GRUNT,0.25,3089.9739157,9,25,200016128301we,,0,03/03/2025
1,1234120000129001,3,12,6,1,2000,01,we,8835400102,316,0.4063872255,0,0,200016128301we,123412000012911109,WHITE GRUNT,0.4,3089.9739157,12,31,200016128301we,,0,03/03/2025
1,1234120000212003,3,12,6,1,2000,02,we,8835360102,333,0.5587824351,0,0,200016128302we,1234120000212117,GRAY SNAPPER,0.55,3089.9739157,13,33,200016128302we,,0,03/03/2025
1,1234120000212003,3,12,6,1,2000,02,we,8835360102,351,0.6603792415,0,0,200016128302we,1234120000212117,GRAY SNAPPER,0.65,3089.9739157,13,35,200016128302we,,0,03/03/2025
1,1234120000212006,3,12,6,1,2000,02,we,,,,0,0,200016128302we,1234120000212117,,,3139.3148166,,,200016128302we,,0,03/03/2025
1,1234120000219007,3,12,6,1,2000,02,we,8835400102,198,0.1523952096,0,0,200016128302we,123412000021986279,WHITE GRUNT,0.15,3089.9739157,7,19,200016128302we,,0,03/03/2025
1,1234120000219007,3,12,6,1,2000,02,we,8835400102,210,0.2031936128,0,0,200016128302we,123412000021986279,WHITE GRUNT,0.2,3089.9739157,8,21,200016128302we,,0,03/03/2025
1,1234120000219008,3,12,6,1,2000,02,we,8835400102,155,0.1523952096,0,0,200016128302we,123412000021986279,WHITE GRUNT,0.15,3089.9739157,6,15,200016128302we,,0,03/03/2025
1,1234120000220001,3,12,6,1,2000,02,we,8835430201,143,0.1015968064,0,0,200016128302we,123412000022011106,PINFISH,0.1,3089.9739157,5,14,200016128302we,,0,03/03/2025
1,1234120000220001,3,12,6,1,2000,02,we,8835430201,146,0.1015968064,0,0,200016128302we,123412000022011106,PINFISH,0.1,3089.9739157,5,14,200016128302we,,0,03/03/2025
1,1234120000220001,3,12,6,1,2000,02,we,8835430201,131,0.0507984032,0,0,200016128302we,123412000022011106,PINFISH,0.05,3089.9739157,5,13,200016128302we,,0,03/03/2025
1,1234120000220001,3,12,6,1,2000,02,we,8835430201,144,0.1015968064,0,0,200016128302we,123412000022011106,PINFISH,0.1,3089.9739157,5,14,200016128302we,,0,03/03/2025
