PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TIME,TSN1,TSN2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,COMPFLAG,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,SNAPPER FAMILY,200716128301we,1234120070107117,2007,5,36,61,12,11,7,1,3,1,1,5,,10,10,1,1,0,0,0,0,,,1234120070107017,6,1,2,,,,O,,1234120070107,,01,we,1234120070107017,,,,NEW YORK,2200,168845,0,1,1,1,8,1,8,,2,21FEB200709:19,1,8835360000,,,,,,,971.22382197,200716128301we,,0,1234120070107017,8,10025,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,2,0,0,0,1,1,1,0,0,0,,,1234120070107018,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107018,2,,,BROWARD,2216,0,0,1,1,1,8,1,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107018,8,33324,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,2,,0,0,1,1,0,0,0,0,,,1234120070107019,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107019,,,,BROWARD,2218,0,0,1,1,1,8,1,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107019,8,33324,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,3.5,0,7,4,1,1,1,0,0,0,,,1234120070107020,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107020,2,,,BROWARD,1,0,0,1,1,1,8,1,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107020,8,33062,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,3.5,0,7,4,1,1,1,0,0,0,,,1234120070107021,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107021,2,,,BROWARD,2,0,0,1,1,1,8,2,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107021,8,33062,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,3.5,,7,4,1,1,0,0,0,0,,,1234120070107022,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107022,,,,BROWARD,4,0,0,1,1,1,8,2,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107022,8,33062,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,6,,30,7,1,1,0,0,0,0,,,1234120070107023,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107023,,,,BROWARD,100,0,0,1,1,1,8,2,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107023,8,33060,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,6,0,24,6,1,1,0,3,0,0,,,1234120070107024,6,1,1,,,,Y,,1234120070107,,01,we,1234120070107024,2,1,0,BROWARD,103,0,0,1,1,1,8,2,1,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107024,8,33060,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,5,0,15,1,1,1,1,0,0,0,,,1234120070107025,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107025,2,,,BROWARD,120,0,0,1,1,1,8,1,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107025,8,33065,03/03/2025
,,200716128301we,1234120070107117,2007,6,12,11,12,11,7,1,3,1,1,5,,15,1,1,1,0,0,0,0,,,1234120070107026,6,1,2,,,,Y,,1234120070107,,01,we,1234120070107026,,,,BROWARD,122,0,0,1,1,1,8,2,8,,2,21FEB200709:19,1,,,,,,,,1055.9991136,200716128301we,,0,1234120070107026,8,33065,03/03/2025
