PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,TOURN,TURTLE,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,,199016128302we,10542199002043143,,1,1,,2,1,31,1,O,6,6,,3,1054219900204001,43,1,3,0,0,0,,,,6,12,37,6,1,1,1990,1054219900204,02,we,,,1054219900204001,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1330,8,8,67,16116.170908,199016128302we,,0,1054219900204001,99998,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,1,O,6,6,,3,1054219900204002,43,1,3,0,0,0,,,,6,12,37,6,1,1,1990,1054219900204,02,we,,,1054219900204002,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1335,8,8,70,16116.170908,199016128302we,,0,1054219900204002,99998,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,2,40,,1.5,1054219900204003,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204003,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1415,8,8,39,21905.350766,199016128302we,,0,1054219900204003,32223,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,85,O,0,0,,1.5,1054219900204004,43,1,3,0,0,0,,,,5,12,51,6,1,1,1990,1054219900204,02,we,,,1054219900204004,,,,8,1,,Hanover,21AUG91:15:40,1,8,1,,,,0,0,1,88,8,1420,8,8,56,16116.170908,199016128302we,,0,1054219900204004,23228,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,2,2,,3,1054219900204005,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204005,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1445,8,8,98,21905.350766,199016128302we,,0,1054219900204005,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,4,4,,3,1054219900204006,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204006,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1450,8,8,98,21905.350766,199016128302we,,0,1054219900204006,32233,03/03/2025
,SOUTHERN KINGFISH,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,10,,4,1054219900204007,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204007,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1510,8,8,99,21905.350766,199016128302we,,0,1054219900204007,32233,03/03/2025
,SOUTHERN KINGFISH,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,1,15,,4,1054219900204008,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204008,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1515,8,8,99,21905.350766,199016128302we,,0,1054219900204008,32233,03/03/2025
,SOUTHERN KINGFISH,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,2,,3.5,1054219900204009,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204009,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1540,8,8,98,21905.350766,199016128302we,,0,1054219900204009,32209,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,0,,2,1054219900204010,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204010,,,,8,9,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1555,8,8,20,21905.350766,199016128302we,,0,1054219900204010,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,0,,2,1054219900204011,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204011,,,,8,9,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1600,8,8,20,21905.350766,199016128302we,,0,1054219900204011,32233,03/03/2025
,,199016128302we,10542199002043143,,1,1,,2,1,31,53,O,1,12,,7,1054219900204012,43,1,3,0,0,0,,,,7,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204012,,,,8,1,,Hernando,21AUG91:15:41,1,8,1,,,,0,0,1,88,8,1605,8,8,20,16116.170908,199016128302we,,0,1054219900204012,34601,03/03/2025
