COMMON,STRAT_ID,PSU_ID,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,MONTH,KOD,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,TOT_LEN_A,WGT_A,TOT_LEN_B1,WGT_B1,TOT_CAT,WGT_AB1,TOT_LEN,LANDING,VAR_ID,ARX_METHOD,ALT_FLAG,FL_REG,WP_CATCH_PRECAL,WP_INT,WP_CATCH,DATE_PUBLISHED
,200416128301wd,15111200401269299,2004,12,3,1,1511120040126006,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,944.4139284,13203.436157,13203.436157,03/03/2025
,200416128302we,12368200402019985,2004,12,3,1,1236820040201006,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,499.28791613,3384.8035894,3384.8035894,03/03/2025
,200416128301wd,1511220040114127295,2004,12,3,1,1511220040114005,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,1492.5396018,32013.214478,32013.214478,03/03/2025
,200416128301we,1234120040111117,2004,12,3,1,1234120040111004,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,876.82099705,5944.199253,5944.199253,03/03/2025
,200416128302we,12368200402019985,2004,12,3,1,1236820040201015,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,499.28791613,3384.8035894,3384.8035894,03/03/2025
,200416128301wd,1511220040114127295,2004,12,3,1,1511220040114007,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,1492.5396018,34807.554497,34807.554497,03/03/2025
,200416128301we,1234120040111117,2004,12,3,1,1234120040111013,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,876.82099705,5944.199253,5944.199253,03/03/2025
,200416128301we,123682004011785341,2004,12,3,1,1236820040117007,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,847.90836078,11854.234221,11854.234221,03/03/2025
,200416128301we,123682004011785341,2004,12,3,1,1236820040117003,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,847.90836078,11854.234221,11854.234221,03/03/2025
,200416128301we,123412004011925279,2004,12,3,1,1234120040119013,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,430.76419701,2920.2633453,2920.2633453,03/03/2025
,200416128301we,1236820040119991448,2004,12,3,1,1236820040119006,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,560.93445796,3802.721647,3802.721647,03/03/2025
,200416128302we,12368200402019985,2004,12,3,1,1236820040201016,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,499.28791613,3384.8035894,3384.8035894,03/03/2025
,200416128301wd,1236820040107991448,2004,12,3,1,1236820040107006,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,477.67611266,3238.2915118,3238.2915118,03/03/2025
,200416128301wd,12368200401099985,2004,12,3,1,1236820040109002,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,819.17081789,5553.373585,5553.373585,03/03/2025
,200416128301we,123412004011925279,2004,12,3,1,1234120040119025,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,430.76419701,2920.2633453,2920.2633453,03/03/2025
,200416128301wd,12368200401099985,2004,12,3,1,1236820040109022,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,819.17081789,5553.373585,5553.373585,03/03/2025
,200416128301wd,12368200401099985,2004,12,3,1,1236820040109019,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,819.17081789,5553.373585,5553.373585,03/03/2025
,200416128301we,1236820040111991448,2004,12,3,1,1236820040111010,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,410.8804095,2785.4659406,2785.4659406,03/03/2025
,200416128301wd,123412004011425279,2004,12,3,1,1234120040114022,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,666.06204698,4515.4091148,4515.4091148,03/03/2025
,200416128301wd,1511220040114127295,2004,12,3,1,1511220040114002,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,1492.5396018,32013.214478,32013.214478,03/03/2025
,200416128301we,1234120040111117,2004,12,3,1,1234120040111023,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,876.82099705,5944.199253,5944.199253,03/03/2025
,200416128301we,123682004011785341,2004,12,3,1,1236820040117021,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,847.90836078,11854.234221,11854.234221,03/03/2025
,200416128301wd,1528320040130111929,2004,12,3,1,1528320040130009,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,2252.8650964,31496.317003,31496.317003,03/03/2025
,200416128301we,123412004011925279,2004,12,3,1,1234120040119016,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,430.76419701,2920.2633453,2920.2633453,03/03/2025
,200416128302wd,123682004022685341,2004,12,3,1,1236820040226009,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,3671.09307,51323.939132,51323.939132,03/03/2025
,200416128302we,12368200402019985,2004,12,3,1,1236820040201010,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,499.28791613,3384.8035894,3384.8035894,03/03/2025
,200416128302we,12368200402019985,2004,12,3,1,1236820040201002,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,499.28791613,3384.8035894,3384.8035894,03/03/2025
,200416128301wd,1236820040107991448,2004,12,3,1,1236820040107009,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,477.67611266,3238.2915118,3238.2915118,03/03/2025
,200416128302wd,1236820040219991448,2004,12,3,1,1236820040219020,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,662.80487248,4132.6048635,4132.6048635,03/03/2025
,200416128302wd,1236820040219991448,2004,12,3,1,1236820040219028,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,662.80487248,4132.6048635,4132.6048635,03/03/2025
,200416128302we,12368200402019985,2004,12,3,1,1236820040201029,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,499.28791613,3384.8035894,3384.8035894,03/03/2025
,200416128301we,123412004011925279,2004,12,3,1,1234120040119022,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,430.76419701,2920.2633453,2920.2633453,03/03/2025
,200416128302wd,1236820040219991448,2004,12,3,1,1236820040219007,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,662.80487248,4132.6048635,4132.6048635,03/03/2025
,200416128301we,1234120040111117,2004,12,3,1,1234120040111024,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,876.82099705,5944.199253,5944.199253,03/03/2025
,200416128302wd,123682004022685341,2004,12,3,1,1236820040226003,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,3671.09307,51323.939132,51323.939132,03/03/2025
,200416128302wd,1236820040219991448,2004,12,3,1,1236820040219017,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,662.80487248,4132.6048635,4132.6048635,03/03/2025
,200416128301wd,12368200401099985,2004,12,3,1,1236820040109018,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,819.17081789,5553.373585,5553.373585,03/03/2025
,200416128301wd,1511220040114127295,2004,12,3,1,1511220040114001,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,1492.5396018,34807.554497,34807.554497,03/03/2025
,200416128301wd,123412004011425279,2004,12,3,1,1234120040114023,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,666.06204698,4515.4091148,4515.4091148,03/03/2025
,200416128301wd,123412004011425279,2004,12,3,1,1234120040114013,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,666.06204698,4515.4091148,4515.4091148,03/03/2025
,200416128301we,1236820040111991448,2004,12,3,1,1236820040111016,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301we,,0,8,410.8804095,2785.4659406,2785.4659406,03/03/2025
,200416128301wd,123412004011425279,2004,12,3,1,1234120040114018,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,666.06204698,4515.4091148,4515.4091148,03/03/2025
,200416128301wd,151122004011235163,2004,12,3,1,1511220040112003,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,394.44316046,8460.3406701,8460.3406701,03/03/2025
,200416128302we,1512020040207117,2004,12,3,1,1512020040207016,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,331.605212,2248.0386078,2248.0386078,03/03/2025
,200416128301wd,15111200401269299,2004,12,3,1,1511120040126008,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128301wd,,0,8,944.4139284,13203.436157,13203.436157,03/03/2025
,200416128302we,15223200402229916,2004,12,3,1,1522320040222010,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302we,,0,8,2637.9025321,36879.356206,36879.356206,03/03/2025
,200416128302wd,1511220040203127142,2004,12,3,1,1511220040203014,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200416128302wd,,0,8,432.01099694,10074.939587,10074.939587,03/03/2025
