YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,KOD,SP_CODE,LNGTH,WGT,LNGTH_IMP,WGT_IMP,MONTH,STRAT_ID,PSU_ID,COMMON,WP_SIZE,L_IN_BIN,L_CM_BIN,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
2018,12,3,1,1511220180119001,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,9084.6397614,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119002,6,1,we,8835440602,314,0.24,1,1,01,2018011273weS:8AM-8PM,2018112731511220180119,GULF KINGFISH,9084.6397614,12,31,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119003,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,9084.6397614,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119004,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,10220.663382,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119005,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,10220.663382,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119006,6,1,we,8835440600,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,KINGFISH GENUS,30661.990146,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119007,6,1,we,8835440600,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,KINGFISH GENUS,10220.663382,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119008,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,10220.663382,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119009,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,10220.663382,,,2018011273weS:8AM-8PM,,0,03/03/2025
2018,12,3,1,1511220180119010,6,1,we,,,,0,0,01,2018011273weS:8AM-8PM,2018112731511220180119,,10220.663382,,,2018011273weS:8AM-8PM,,0,03/03/2025
