YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,KOD,SP_CODE,IMP_REC,LNGTH,WGT,LNGTH_IMP,WGT_IMP,MONTH,STRAT_ID,PSU_ID,COMMON,WP_SIZE,L_IN_BIN,L_CM_BIN,VAR_ID,ARX_METHOD,ALT_FLAG,DATE_PUBLISHED
2021,12,3,5,1515620210101001,6,1,we,8777020101,,364,0.66,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,WHITE CATFISH,31885.675712,14,36,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101001,6,1,we,8777020101,,435,1.42,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,WHITE CATFISH,31885.675712,17,43,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101002,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,31885.675712,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101003,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,31885.675712,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101004,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,31885.675712,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101005,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,31885.675712,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101006,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,9283.5137618,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101007,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,9283.5137618,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210101008,6,1,we,,,,,0,0,01,2021011273weS:8AM-8PM,2021112731515620210101,,9283.5137618,,,2021011273weS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210114001,6,1,wd,8835440102,,374,0.50,0,0,01,2021011273wdS:8AM-8PM,2021112731515620210114,SPOTTED SEATROUT,2666.3386462,14,37,2021011273wdS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210114002,6,1,wd,,,,,0,0,01,2021011273wdS:8AM-8PM,2021112731515620210114,,2666.3386462,,,2021011273wdS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210119006,6,1,wd,,,,,0,0,01,2021011273wdS:8AM-8PM,2021112731515620210119,,5684.3388062,,,2021011273wdS:8AM-8PM,,0,03/03/2025
2021,12,3,5,1515620210119007,6,1,wd,,,,,0,0,01,2021011273wdS:8AM-8PM,2021112731515620210119,,5684.3388062,,,2021011273wdS:8AM-8PM,,0,03/03/2025
2021,12,3,1,1543720210106001,6,1,wd,,,,,0,0,01,2021011253wdS:8AM-8PM,2021112531543720210106,,9315.4866785,,,2021011253wdS:8AM-8PM,,0,03/03/2025
2021,12,3,1,1543720210106002,6,1,wd,,,,,0,0,01,2021011253wdS:8AM-8PM,2021112531543720210106,,9315.4866785,,,2021011253wdS:8AM-8PM,,0,03/03/2025
2021,12,3,1,1543720210106003,6,1,wd,,,,,0,0,01,2021011253wdS:8AM-8PM,2021112531543720210106,,9315.4866785,,,2021011253wdS:8AM-8PM,,0,03/03/2025
2021,12,3,1,1543720210106004,6,1,wd,,,,,0,0,01,2021011253wdS:8AM-8PM,2021112531543720210106,,9315.4866785,,,2021011253wdS:8AM-8PM,,0,03/03/2025
2021,12,3,1,1543720210106005,6,1,wd,,,,,0,0,01,2021011253wdS:8AM-8PM,2021112531543720210106,,9315.4866785,,,2021011253wdS:8AM-8PM,,0,03/03/2025
