PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,GULF KINGFISH,199516128301wd,1038919950113127293,,1,1,,2,1,127,9,Y,30,200,8,2,1038919950113001,293,5,3,0,0,0,0,,88,6,12,12,6,1,1,1995,1038919950113,01,wd,,,1038919950113001,,,,8,1,,BREVARD,24FEB93:14:01,1,8,1,,,,8835440602,0,1,,8,955,20014.789856,199516128301wd,,0,1038919950113001,32780,03/03/2025
,GULF KINGFISH,199516128301wd,1038919950113127293,,1,1,,2,1,127,9,Y,30,200,8,2,1038919950113002,293,5,3,0,0,0,0,,88,6,12,12,6,1,1,1995,1038919950113,01,wd,,,1038919950113002,,,,8,1,,BREVARD,18APR95:08:20,1,8,1,,,,8835440602,0,1,,8,1000,20014.789856,199516128301wd,,0,1038919950113002,32780,03/03/2025
,GULF KINGFISH,199516128301wd,1038919950113127293,0,1,1,,1,1,127,9,Y,30,250,8,2.5,1038919950113003,293,5,3,0,2,0,0,,88,6,12,12,6,1,1,1995,1038919950113,01,wd,,,1038919950113003,2,2,0,8,9,,BREVARD,18APR95:08:20,1,1,1,,,,8835440602,0,1,,8,1045,20014.789856,199516128301wd,,0,1038919950113003,99998,03/03/2025
,GULF KINGFISH,199516128301wd,1038919950113127293,0,1,1,,2,1,127,9,Y,30,250,8,2.5,1038919950113004,293,5,3,2,0,0,0,,88,6,12,12,6,1,1,1995,1038919950113,01,wd,,,1038919950113004,2,0,3,8,1,,BREVARD,18APR95:08:20,1,8,1,,,,8835440602,0,1,,8,1050,20014.789856,199516128301wd,,0,1038919950113004,99998,03/03/2025
,,199516128301wd,1038919950113127293,,1,1,,2,1,127,9,Y,0,0,8,3,1038919950113005,293,5,3,0,0,0,0,,88,6,12,12,6,1,1,1995,1038919950113,01,wd,,,1038919950113005,,,,8,1,,BREVARD,18APR95:08:20,1,8,1,,,,0,0,1,,8,1100,20014.789856,199516128301wd,,0,1038919950113005,32786,03/03/2025
,,199516128301wd,1038919950113127293,0,1,1,,2,1,127,9,Y,0,0,8,3,1038919950113006,293,5,3,1,0,0,0,,88,6,12,12,6,1,1,1995,1038919950113,01,wd,,,1038919950113006,2,,,8,1,,BREVARD,18APR95:08:20,1,8,1,,,,0,0,1,,8,1135,20014.789856,199516128301wd,,0,1038919950113006,32786,03/03/2025
,GULF KINGFISH,199516128301wd,1038919950113127293,0,1,1,,2,1,127,19,O,1,1,8,3,1038919950113007,293,5,3,1,0,0,0,,88,4,12,25,6,1,1,1995,1038919950113,01,wd,,,1038919950113007,2,,,8,1,,NANTUCKET,24FEB93:14:01,1,8,1,,,,8835440602,0,1,,8,1230,14994.922084,199516128301wd,,0,1038919950113007,02554,03/03/2025
,GULF KINGFISH,199516128301wd,1038919950113127293,0,1,1,,2,1,127,9,Y,30,200,8,5,1038919950113008,293,5,3,1,0,0,0,,88,6,12,12,6,2,1,1995,1038919950113,01,wd,,,1038919950113008,2,,,8,9,,BREVARD,18APR95:08:20,1,8,1,,,,8835440602,0,1,,8,1315,20014.789856,199516128301wd,,0,1038919950113008,32780,03/03/2025
,,199516128301wd,1038919950113127293,,1,1,,2,1,127,9,Y,30,200,8,5,1038919950113009,293,5,3,0,0,0,0,,88,6,12,12,6,2,1,1995,1038919950113,01,wd,,,1038919950113009,,,,8,9,,BREVARD,18APR95:08:20,1,8,1,,,,0,0,1,,8,1320,20014.789856,199516128301wd,,0,1038919950113009,32780,03/03/2025
,,199516128301wd,1038919950113127293,,1,1,,2,1,127,998,O,2,2,8,3.5,1038919950113010,293,5,3,0,0,0,0,,88,0,12,99,6,2,1,1995,1038919950113,01,wd,,,1038919950113010,,,,8,9,,,18APR95:08:20,1,8,1,,,,0,0,1,,8,1410,14994.922084,199516128301wd,,0,1038919950113010,99997,03/03/2025
