PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,COASTAL,NEW_LIST,ASG_CODE,MODE_ASG,MONTH,KOD,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,COUNTY,TSN1,TSN2,TIME,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,RIG,HRS_DTD,LICENSE,DATE1,DIST,PRIM1,PRIM2,MODE2001,AREA_NC,MONITOR,COMPFLAG,AGE,ART_REEF,REEFCODE,SEX,TOURN,TURTLE,MUNI_RES,MUNI_TRP,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,FL_REG,ZIP,DATE_PUBLISHED
,FLORIDA POMPANO,201016128301wd,15112201001081271819,2010,6,12,117,12,127,1819,2,3,1,1,2.5,0,60,10,2,1,3,5,0,0,,,1511220100108001,6,1,1,,,,Y,,1511220100108,,01,wd,1511220100108001,2,,,SEMINOLE,168708,,1130,1,1,1,8,1,1,,,1,19FEB201014:48,1,8835280901,,,,,,,,,,,,,,32811.08744,201016128301wd,,0,1511220100108001,8,32779,03/03/2025
,BLUEFISH,201016128301wd,15112201001081271819,2010,6,12,127,12,127,1819,2,3,1,1,2.5,0,90,10,1,1,1,2,0,0,,,1511220100108002,6,1,1,,,,Y,,1511220100108,,01,wd,1511220100108002,2,1,0,VOLUSIA,168559,,1305,1,1,1,8,1,1,,,1,19FEB201014:48,1,8835250101,,,,,,,,,,,,,,32811.08744,201016128301wd,,0,1511220100108002,8,32738,03/03/2025
,BLUEFISH,201016128301wd,15112201001081271819,2010,6,12,127,12,127,1819,2,3,1,1,2.5,0,45,7,1,1,1,0,0,0,,,1511220100108003,6,1,2,,,,Y,,1511220100108,,01,wd,1511220100108003,2,,,VOLUSIA,168559,,1306,1,1,1,8,2,8,,,2,19FEB201014:48,1,8835250101,,,,,,,,,,,,,,32811.08744,201016128301wd,,0,1511220100108003,8,99998,03/03/2025
,,201016128301wd,15112201001081271819,2010,6,12,97,12,127,1819,2,3,1,1,1.5,0,50,7,2,2,2,5,0,0,,,1511220100108004,6,1,1,,,,Y,,1511220100108,,01,wd,1511220100108004,2,,,OSCEOLA,,,1315,1,1,1,2,1,2,,,1,19FEB201014:48,1,,,,,,,,,,,,,,,32811.08744,201016128301wd,,0,1511220100108004,8,34741,03/03/2025
,,201016128301wd,15112201001081271819,2010,6,12,97,12,127,1819,2,3,1,1,1.5,0,50,7,2,0,2,0,1,0,,,1511220100108005,6,1,3,,,,Y,,1511220100108,,01,wd,1511220100108004,2,,,OSCEOLA,,,1316,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,32811.08744,201016128301wd,,0,1511220100108004,8,34741,03/03/2025
RED DRUM,BLACK DRUM,201016128301wd,15112201001081271819,2010,6,12,127,12,127,1819,2,3,1,1,3.5,0,24,3,1,1,3,2,0,0,,,1511220100108006,6,1,1,,,,Y,,1511220100108,,01,wd,1511220100108006,2,,,VOLUSIA,169288,169290,1340,1,1,1,8,1,1,,,2,19FEB201014:48,1,8835440801,8835440901,,,,,,,,,,,,,32811.08744,201016128301wd,,0,1511220100108006,8,32725,03/03/2025
,,201016128301wd,1511220100122127175,2010,6,12,117,12,127,175,2,3,1,1,2,0,200,30,1,1,1,0,0,0,,,1511220100122004,6,1,2,,,,Y,,1511220100122,,01,wd,1511220100122004,2,,,SEMINOLE,,,1405,1,1,1,8,1,8,,,1,19FEB201014:48,1,,,,,,,,,,,,,,,23277.781758,201016128301wd,,0,1511220100122004,8,99998,03/03/2025
,,201016128301wd,1511220100122127175,2010,0,26,125,12,127,175,2,3,1,1,4,0,6,6,1,1,2,0,0,0,,,1511220100122006,6,1,2,,,,O,,1511220100122,,01,wd,1511220100122006,2,,,,,,1620,1,1,1,8,1,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,21409.048431,201016128301wd,,0,1511220100122006,8,48390,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,4.5,,50,50,1,1,0,0,0,0,,,1511220100129001,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129001,,,,FLAGLER,,,1140,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129001,8,32137,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,95,12,35,163,1,3,1,1,4,,30,0,1,1,0,0,0,0,,,1511220100129002,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129002,,,,ORANGE,,,1145,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129002,8,34761,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,95,12,35,163,1,3,1,1,4,,40,0,1,1,0,0,0,0,,,1511220100129003,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129003,,,,ORANGE,,,1146,1,1,1,8,1,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129003,8,34761,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,95,12,35,163,1,3,1,1,4,,50,0,1,1,0,0,0,0,,,1511220100129004,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129004,,,,ORANGE,,,1147,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129004,8,34761,03/03/2025
BLACK DRUM,SHEEPSHEAD,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,2.5,0,200,30,1,1,3,0,0,0,,,1511220100129005,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129005,2,,,FLAGLER,169189,169288,1150,1,1,1,8,1,8,,,1,19FEB201014:48,1,8835430301,8835440801,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129005,8,32137,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,5.5,,150,23,1,1,0,0,0,0,,,1511220100129006,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129006,,,,FLAGLER,,,1152,1,1,1,8,1,8,,,1,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129006,8,32164,03/03/2025
,,201016128301wd,151122010012935163,2010,0,21,37,12,35,163,1,3,1,1,2,0,30,15,1,1,1,0,0,0,,,1511220100129007,6,1,2,,,,O,,1511220100129,,01,wd,1511220100129007,2,,,,,,1157,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,10789.766384,201016128301wd,,0,1511220100129007,8,41071,03/03/2025
,,201016128301wd,151122010012935163,2010,0,21,37,12,35,163,1,3,1,1,2,0,30,15,1,1,1,0,0,0,,,1511220100129008,6,1,2,,,,O,,1511220100129,,01,wd,1511220100129008,2,,,,,,1158,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,10789.766384,201016128301wd,,0,1511220100129008,8,41071,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,2,0,100,15,1,1,1,0,0,0,,,1511220100129009,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129009,2,,,FLAGLER,,,1200,1,1,1,8,1,8,,,1,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129009,8,32164,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,2,,100,15,1,1,0,0,0,0,,,1511220100129010,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129010,,,,FLAGLER,,,1201,1,1,1,8,2,8,,,1,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129010,8,32164,03/03/2025
,KINGFISH GENUS,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,4,0,75,10,1,1,1,0,0,0,,,1511220100129011,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129011,2,,,FLAGLER,169273,,1205,1,1,1,8,1,8,,,2,19FEB201014:48,1,8835440600,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129011,8,32137,03/03/2025
KINGFISH GENUS,SHEEPSHEAD,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,6,0,200,40,2,1,1,1,0,0,,,1511220100129012,6,1,1,,,,Y,,1511220100129,,01,wd,1511220100129012,2,1,0,FLAGLER,169189,169273,1210,1,1,1,8,2,1,,,1,19FEB201014:48,1,8835430301,8835440600,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129012,8,32164,03/03/2025
,SHEEPSHEAD,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,5,0,180,30,1,1,1,0,0,0,,,1511220100129013,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129013,2,0,2,FLAGLER,169189,,1212,1,1,1,8,2,8,,,2,19FEB201014:48,1,8835430301,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129013,8,32164,03/03/2025
,,201016128301wd,151122010012935163,2010,6,12,35,12,35,163,1,3,1,1,3,,50,7,2,1,0,0,0,0,,,1511220100129014,6,1,2,,,,Y,,1511220100129,,01,wd,1511220100129014,,,,FLAGLER,,,1219,1,1,1,8,1,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,11731.573588,201016128301wd,,0,1511220100129014,8,99998,03/03/2025
,,201016128301wd,151122010012935163,2010,6,37,151,12,35,163,1,3,1,1,6,,150,12,1,1,0,0,0,0,,,1511220100129015,6,1,2,,,,O,,1511220100129,,01,wd,1511220100129015,,,,,,,1225,1,1,1,8,2,8,,,1,19FEB201014:48,1,,,,,,,,,,,,,,,10789.766384,201016128301wd,,0,1511220100129015,8,27341,03/03/2025
,,201016128301wd,151122010012935163,2010,6,37,151,12,35,163,1,3,1,1,6,,2,2,1,1,0,0,0,0,,,1511220100129016,6,1,2,,,,O,,1511220100129,,01,wd,1511220100129016,,,,,,,1226,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,10789.766384,201016128301wd,,0,1511220100129016,8,27205,03/03/2025
,,201016128301wd,151122010012935163,2010,0,21,177,12,35,163,1,3,1,1,4,,8,0,1,1,0,0,0,0,,,1511220100129017,6,1,2,,,,O,,1511220100129,,01,wd,1511220100129017,,,,,,,1251,1,1,1,8,2,8,,,2,19FEB201014:48,1,,,,,,,,,,,,,,,10789.766384,201016128301wd,,0,1511220100129017,8,99998,03/03/2025
