PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,DATE,TURTLE,TOURN,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
BLUEFISH,STRIPED BASS,19926498311wd,116601992110611646,,C,5,,2,1,11,11,Y,8,8,8,4.5,1166019921106001,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1992,1166019921106,11,wd,,,1166019921106001,,,,8,1,,New London,25JUN93:16:05,8,8,1,,,,8835020102,8835250101,1,88,8,1432,921106,3,2,73,4064.6828663,19926498311wd,,0,1166019921106001,06380,03/03/2025
,STRIPED BASS,19926498311wd,116601992110611646,,C,5,,2,1,11,15,Y,6,10,8,0.5,1166019921106002,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1992,1166019921106,11,wd,,,1166019921106002,,,,8,1,,Windham,25JUN93:16:05,8,8,1,,,,8835020102,,1,88,8,1453,921106,3,2,32,4064.6828663,19926498311wd,,0,1166019921106002,06377,03/03/2025
BLUEFISH,STRIPED BASS,19926498311wd,116601992110611646,,C,5,,2,1,11,13,Y,0,0,1,2.5,1166019921106003,646,5,3,0,0,0,0,,2,4,9,9,4,1,6,1992,1166019921106,11,wd,,,1166019921106003,,,,8,1,,Tolland,25JUN93:16:05,8,8,1,,,,8835020102,8835250101,1,88,8,1524,921106,3,2,35,4064.6828663,19926498311wd,,0,1166019921106003,06084,03/03/2025
BLUEFISH,STRIPED BASS,19926498311wd,116601992110611646,0,C,5,,2,1,11,11,Y,18,75,2,2.5,1166019921106004,646,5,3,1,0,0,1,,2,4,9,9,4,1,6,1992,1166019921106,11,wd,,,1166019921106004,2,,,8,1,,New London,25JUN93:16:05,8,8,1,,,,8835020102,8835250101,1,88,8,1524,921106,3,2,31,4064.6828663,19926498311wd,,0,1166019921106004,06389,03/03/2025
,WINTER FLOUNDER,19926498311we,116601992110811679,,C,5,,2,1,11,11,Y,10,10,8,2,1166019921108001,679,5,3,0,0,0,0,,1,4,9,9,4,1,6,1992,1166019921108,11,we,,,1166019921108001,,,,8,1,,New London,25JUN93:16:05,8,8,1,,,,8857042001,,1,88,8,1227,921108,3,2,28,5427.8418011,19926498311we,,0,1166019921108001,06357,03/03/2025
,STRIPED BASS,19926498311we,116601992110811679,,C,5,,2,1,11,11,Y,6,14,8,2.5,1166019921108002,679,5,3,0,0,0,0,,1,4,9,9,4,1,6,1992,1166019921108,11,we,,,1166019921108002,,,,8,1,,New London,25JUN93:16:05,8,8,1,,,,8835020102,,1,88,8,1315,921108,3,2,33,5427.8418011,19926498311we,,0,1166019921108002,06365,03/03/2025
,WINTER FLOUNDER,19926498311we,116601992110811679,,C,5,,2,1,11,11,Y,5,52,8,1,1166019921108003,679,5,3,0,0,0,0,,1,4,9,9,4,1,6,1992,1166019921108,11,we,,,1166019921108003,,,,8,1,,New London,25JUN93:16:05,8,8,1,,,,8857042001,,1,88,8,1329,921108,3,2,29,5427.8418011,19926498311we,,0,1166019921108003,06340,03/03/2025
WINTER FLOUNDER,SCUP,19926498311we,116601992110811646,,C,5,,2,1,11,3,Y,5,6,8,3.5,1166019921108004,646,5,3,0,0,0,0,,1,4,9,9,4,1,6,1992,1166019921108,11,we,,,1166019921108004,,,,8,1,,Hartford,25JUN93:16:05,8,8,1,,,,8835430101,8857042001,1,88,8,1440,921108,3,2,49,2041.2518126,19926498311we,,0,1166019921108004,06096,03/03/2025
,WINTER FLOUNDER,19926498311we,116601992110811646,,C,5,,2,1,11,3,Y,1,1,1,1,1166019921108005,646,5,3,0,0,0,0,,2,4,9,9,4,1,6,1992,1166019921108,11,we,,,1166019921108005,,,,8,1,,Hartford,25JUN93:16:05,8,8,1,,,,8857042001,,1,88,8,1511,921108,3,2,22,2041.2518126,19926498311we,,0,1166019921108005,06110,03/03/2025
,WINTER FLOUNDER,19926498311we,116601992110811646,,C,5,,2,1,11,3,Y,0,0,2,1,1166019921108006,646,5,3,0,0,0,1,,2,4,9,9,4,1,6,1992,1166019921108,11,we,,,1166019921108006,,,,8,1,,Hartford,25JUN93:16:05,8,8,1,,,,8857042001,,1,88,8,1512,921108,3,2,29,2041.2518126,19926498311we,,0,1166019921108006,06110,03/03/2025
